name,author,Avg,Num
北妹,盛可以,7.8,121
爱你就像爱生命,王小波,8.768014284409904,98569
现代文明的成坏,许倬云,8.1,100
大国霸业的兴废,许倬云,7.5,120
荒木经惟的天才写真术,[日]荒木经惟,7.788848263254113,3829
中西文明的对照,许倬云,8.2,135
明日灭亡1：天启爆炸,张草,6.9,93
王小波全集：万寿寺,王小波,8.6,2526
王小波全集,王小波,9.075800121607429,18091
王小波全集 第一卷,王小波,8.3,912
鲁滨逊漂流记,[英] 笛福,8.108407713643475,152146
麦琪的礼物,[美] 欧·亨利,8.60184124238821,55506
安徒生童话故事集,（丹麦）安徒生,9.199602096886249,79165
格林童话全集,[德国]格林兄弟,8.994942133927466,64632
海底两万里,[法国] 儒尔·凡尔纳,8.506090078625641,88012
一千英亩,[美] 简·斯迈利,7.4,32
呼吸呼吸,[美] 安·泰勒,8.2,46
迸涌的流泉,[德] 马丁·瓦尔泽,6.8,24
北纬四十二度,[美] 约翰·多斯·帕索斯,7.8,25
第七个十字架,[德] 安娜·西格斯,7.4,43
斯特林堡传,[瑞]拉格尔克朗斯,8.0,24
白夜行,[日] 东野圭吾,9.131493125271525,681336
新参者,[日] 东野圭吾,8.359110625113907,54870
嫌疑人X的献身,[日]东野圭吾,8.919972317042712,480440
窗边的小豆豆,[日] 黑柳彻子 著,8.728667187172698,157539
祈祷落幕时,(日)东野圭吾,7.7,27493
解憂雜貨店,東野圭吾,8.6,4017
ナミヤ雑貨店の奇蹟,東野圭吾,8.173929961089495,257
边城,沈从文,8.70691683076076,188916
活着,余华,9.283581490526705,732533
黄金时代,王小波,8.829105093770536,178041
骆驼祥子,老舍,8.407999455775261,154348
呐喊,鲁迅,8.901728222996516,86100
阿Q正传,鲁迅 著,8.700975813177648,71940
红玫瑰与白玫瑰,张爱玲,8.446042549722854,98144
Fortress Besieged,钱钟书,9.1,39
恶心,[法] 让-保罗·萨特,8.6,2983
卡尔维诺文集,[意大利] 卡尔维诺,8.985554826001316,12184
追忆似水年华 Ⅰ,[法] M·普鲁斯特,8.7,9209
尤利西斯,[爱尔兰] 詹姆斯·乔伊斯,8.63820224719101,5696
等待戈多,[法] 萨缪尔·贝克特,8.557644110275689,4389
等待去年来临,[美] 菲利普·K·迪克,8.0,24
世界就是这样结束的,[英]内维尔·舒特,7.7,81
圣天秤星,[英]彼得·汉密尔顿,7.9,64
